metric,real,random,delta_real_minus_random,ci95_low,ci95_high
Local Cosine,0.6254187226295471,0.6253398060798645,7.891654968261719e-05,-0.00071246271332105,0.0008721466263135274
Unit Localization MRR,0.12049689631216516,0.1215588752874598,-0.0010619789752946418,-0.002845181299783842,0.000744259692368206
Local Sample MRR,0.03450356112618504,0.03727389818616019,-0.0027703370599751545,-0.004365789419192041,-0.00129038288556045
Unit Relation Spearman,0.49312836117351583,0.4705735435240815,0.022554817649434344,0.016413860277297743,0.029000602735415458
Locality Gap,-0.10722136497497559,-0.10703179985284805,-0.00018956512212753296,-0.0009674530262127519,0.0005696934399505456
