unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,Real_local_cos,Random_local_cos,delta_local_cos,Real_localization_MRR,Random_localization_MRR,delta_localization_MRR,Real_sample_MRR,Random_sample_MRR,delta_sample_MRR
V1_left_u000,V1,left,0.4239588753800959,-0.17445561120985076,0.6657114062458277,0.11224020593198797,39.309649947381786,155,0.5202479958534241,0.5220769047737122,-0.001828908920288086,0.07543489827704794,0.07157087988353221,0.0038640183935157307,0.029927963475344974,0.04627644667040892,-0.016348483195063948
V1_left_u001,V1,left,1.6706711236421052,0.5624511099445659,1.8499520372700047,0.18992340805529206,63.86114286302446,111,0.5591214895248413,0.5597456097602844,-0.0006241202354431152,0.061152972462373965,0.060586941092789434,0.0005660313695845312,0.033264878847584264,0.04215144202071566,-0.008886563173131398
V1_left_u002,V1,left,0.5021996440010547,1.885696730128041,1.9894016627912168,0.2591422176402476,51.96803670459323,54,0.6140453219413757,0.6186442971229553,-0.00459897518157959,0.1164083345694579,0.12385260598328576,-0.007444271413827863,0.03382839401284529,0.032096358026564374,0.0017320359862809179
V1_left_u003,V1,left,1.217417696416378,-2.1237831819057464,2.523110640048981,0.36548877161927523,56.317738151550294,50,0.6352442502975464,0.6354621648788452,-0.00021791458129882812,0.1575778963034472,0.15873885777829694,-0.001160961474849731,0.03770775981815371,0.03616690257178496,0.0015408572463687514
V1_left_u004,V1,left,3.0383826111044203,-0.20696251162995136,3.1059283784457614,0.2851355148096835,70.25635170936584,56,0.5941246747970581,0.5957223773002625,-0.0015977025032043457,0.09470205707346288,0.09586536139281104,-0.001163304319348163,0.03517674720042211,0.038301021475895425,-0.003124274275473314
V1_left_u005,V1,left,1.3248585116287523,3.818005708130923,4.112915515899658,0.41750708902889694,57.79808280684731,44,0.668053150177002,0.6672021746635437,0.000850975513458252,0.13121922489673646,0.13580157319653874,-0.00458234829980228,0.03229392713535887,0.03274448270542735,-0.00045055557006847685
V1_left_u006,V1,left,3.7810356409653374,1.8874489768691685,4.281675297281017,0.20489296381888183,61.171027183532715,46,0.6045212149620056,0.6004195213317871,0.004101693630218506,0.07527467150542308,0.07071844086027886,0.004556230645144224,0.03467465912135165,0.031198312821672736,0.003476346299678912
V1_left_u007,V1,left,3.6836131186712358,-2.5017961802936735,4.541570595332554,0.27732503084865,53.24787787028721,42,0.6148316264152527,0.616024374961853,-0.0011927485466003418,0.0751496900562128,0.07523446469611576,-8.477463990295975e-05,0.027864567643991832,0.03212576121446353,-0.004261193570471701
V1_left_u008,V1,left,4.655438852310181,-0.17416556419588491,4.701478024891444,0.4604617081848638,58.90195050920759,35,0.5730474591255188,0.573293924331665,-0.00024646520614624023,0.0610375648398354,0.05719581799526194,0.00384174684457346,0.03366061782654254,0.029700399812700506,0.003960218013842033
V1_left_u009,V1,left,1.7897954285144806,-5.520128831267357,5.8772086054086685,0.7647762239794247,50.25316712260246,32,0.660017728805542,0.6613590121269226,-0.0013412833213806152,0.139509055387628,0.15361537667929384,-0.014106321291665835,0.028400082849277065,0.030506745967497816,-0.002106663118220751
V1_right_u000,V1,right,-0.3168950729039399,0.19269293830004314,0.6490916708460102,0.12060638974033683,33.42965958954452,154,0.5245695114135742,0.5233275294303894,0.0012419819831848145,0.049067969607192424,0.05743054945393249,-0.008362579846740069,0.025065291581843674,0.03830333099365819,-0.013238039411814513
V1_right_u001,V1,right,-0.3757270960558876,-1.637372104507504,1.7700872565760757,0.43155157949888345,38.4393817728216,66,0.6158055067062378,0.6150141358375549,0.0007913708686828613,0.14803718612761343,0.13161359478302373,0.016423591344589705,0.030718308319944397,0.03277089634080573,-0.0020525880208613345
V1_right_u002,V1,right,-1.721772711488265,-0.038388772646279094,1.818220823625975,0.28086326342028906,52.7352299871324,79,0.5755103826522827,0.5731703042984009,0.002340078353881836,0.08180591101986055,0.08665558718037508,-0.004849676160514529,0.031354061749265534,0.03303807459591365,-0.0016840128466481183
V1_right_u003,V1,right,-2.264206539643438,-1.2945361133762794,2.675206193798467,0.3091816579628932,58.808548500663356,76,0.605410635471344,0.6055872440338135,-0.00017660856246948242,0.10482415671185236,0.11075377145884574,-0.0059296147469933835,0.024409207993033255,0.02988954295090976,-0.005480334957876504
V1_right_u004,V1,right,-1.3856632061302663,2.486203193664551,2.898894506692886,0.2340863219113089,53.13295233249664,40,0.6469038128852844,0.648438036441803,-0.0015342235565185547,0.12218816637823883,0.11886683717156549,0.003321329206673343,0.028121875955075808,0.030034290272964212,-0.0019124143178884043
V1_right_u005,V1,right,-4.002029527788577,-0.8697085772519526,4.169914924580118,0.34081945596667734,60.8337110851122,46,0.6189532279968262,0.6165977716445923,0.0023554563522338867,0.06681642078207266,0.06684226746763004,-2.5846685557384674e-05,0.031067543391728427,0.02836544827491018,0.0027020951168182476
V1_right_u006,V1,right,-3.576620666186015,2.5813695271809896,4.497878567377726,0.24891732425118487,52.422839069366454,30,0.6431950926780701,0.6420106887817383,0.0011844038963317871,0.08426616744573119,0.08491718923220457,-0.0006510217864733742,0.02833750514614542,0.03461361500097125,-0.00627610985482583
V1_right_u007,V1,right,-0.5100042034279216,-4.4762458078788985,4.566029151280721,0.3077502272120028,51.25651694789077,33,0.6397839784622192,0.6369133591651917,0.002870619297027588,0.12637211482196228,0.12610572364823602,0.0002663911737262603,0.03394791332880178,0.03604998448871187,-0.002102071159910089
V1_right_u008,V1,right,-3.398303256716047,-3.6698380674634663,5.066430568695068,0.40297577530145645,40.62640023912702,35,0.630307137966156,0.6313842535018921,-0.001077115535736084,0.09434237552266202,0.09621539506774787,-0.001873019545085855,0.03337391631601474,0.029210938079165943,0.004162978236848795
V2_left_u000,V2,left,0.37780296901268334,0.03572648673109464,0.5813239063355414,0.1166771949707147,42.92456350887523,170,0.509638786315918,0.5097298622131348,-9.107589721679688e-05,0.04999390720324012,0.06197774285787721,-0.011983835654637086,0.03672119360836927,0.059333527625240086,-0.022612334016870815
V2_left_u001,V2,left,1.8035060751671885,0.7146594375737158,2.0473596418605133,0.24761240980496593,66.78071951398663,102,0.594747006893158,0.5948898196220398,-0.00014281272888183594,0.08454011478760863,0.09312457617059264,-0.008584461382984007,0.030046684964166643,0.04193981324088118,-0.01189312827671454
V2_left_u002,V2,left,1.239964684323659,-1.8630914489428203,2.33002031227899,0.4416257141837998,62.55006348140656,63,0.6396040916442871,0.641207754611969,-0.0016036629676818848,0.1535610282107521,0.15992896088460107,-0.0063679326738489694,0.03624143502323786,0.044352418897726814,-0.008110983874488956
V2_left_u003,V2,left,0.48419606642044605,2.573078528363654,2.6588792445811817,0.25816099070250353,62.55694186433833,47,0.6464924216270447,0.6446788311004639,0.0018135905265808105,0.14172815702453492,0.14301172945673643,-0.0012835724322015074,0.026645526719442623,0.030171936193403623,-0.003526409473961
V2_left_u004,V2,left,2.3820343987886297,3.4751118393831475,4.29222884289054,0.1673780130980493,56.573666284250656,43,0.6301831007003784,0.6250977516174316,0.005085349082946777,0.11195486817213088,0.10290013086715728,0.009054737304973595,0.02409815826540583,0.023803641524779772,0.0002945167406260586
V2_left_u005,V2,left,4.045973371452009,-1.5286997413971055,4.454534772416236,0.38195760398578477,60.35061262694882,71,0.6355791091918945,0.6355563402175903,2.276897430419922e-05,0.10169689213783178,0.11083582687437646,-0.009138934736544674,0.03396673016293818,0.039947312498924865,-0.005980582335986688
V2_left_u006,V2,left,1.8385461904108524,-4.770988489900317,5.20181713785444,0.5903824324320469,49.94992079053606,28,0.660767674446106,0.6576581597328186,0.0031095147132873535,0.14404687280442544,0.13825617633916168,0.005790696465263756,0.03216922753446671,0.024798635782337014,0.007370591752129695
V2_left_u007,V2,left,5.1126227378845215,3.138430207967758,6.125126814842224,0.616319363284856,24.464521217346192,20,0.638263463973999,0.6394385695457458,-0.0011751055717468262,0.08742223136624022,0.08628873542683634,0.0011334959394038863,0.0313137309400607,0.030537717648939366,0.0007760132911213344
V2_left_u008,V2,left,4.971006472905477,-6.226994335651398,8.254204829533895,1.2602408627669017,36.30852858225504,12,0.6401823163032532,0.6397546529769897,0.00042766332626342773,0.09213562621274901,0.08556416830455144,0.0065714579081975755,0.022754341650124518,0.028412914087018112,-0.005658572436893595
V2_right_u000,V2,right,-0.280139830723709,0.42749746541993755,0.690539404217686,0.10623369532713324,41.35803302453489,196,0.5178110599517822,0.525068461894989,-0.007257401943206787,0.05780161742234736,0.06467495977044631,-0.00687334234809895,0.04061679265307868,0.054323769835616646,-0.013706977182537966
V2_right_u001,V2,right,-0.016187670722342375,-1.3583543452254512,1.4651598668935006,0.32396727315101187,35.40240558825041,57,0.59647136926651,0.5929790735244751,0.003492295742034912,0.11788225855242274,0.11252661492274664,0.005355643629676096,0.035537261688685526,0.03785756865460424,-0.002320306965918714
V2_right_u002,V2,right,-1.4082855287562595,0.8716812390373664,1.7804567090580972,0.20098035395919775,69.63335206535425,89,0.5803980231285095,0.580314040184021,8.398294448852539e-05,0.08656491533138892,0.0761153642787189,0.010449551052670022,0.031220309693049987,0.02698732278027507,0.004232986912774916
V2_right_u003,V2,right,-1.5892933799670292,-3.08322536945343,3.5272335566007174,0.2660612798940677,51.69031433692345,65,0.6485875248908997,0.6476564407348633,0.000931084156036377,0.14739730949334065,0.15072491749636407,-0.0033276080030234245,0.027947555992079327,0.03991856969604902,-0.01197101370396969
V2_right_u004,V2,right,-3.5500088263366183,1.5384966767061565,3.9360045336060603,0.2840409227252259,61.482691506208,59,0.641262948513031,0.6399615406990051,0.001301407814025879,0.08857539407949715,0.09299100724350234,-0.004415613164005197,0.03141792500346086,0.03580423693812377,-0.0043863119346629065
V2_right_u005,V2,right,-3.376066442193656,-1.9104465693235397,3.969674114523263,0.26997453492166923,49.82996994873573,58,0.6556063294410706,0.6541551351547241,0.0014511942863464355,0.1512868407739776,0.1609814350512183,-0.009694594277240703,0.031403632592188216,0.03505885418491854,-0.0036552215927303233
V2_right_u006,V2,right,-0.8663004160028052,4.190459657359767,4.425960147703016,0.38165839602919044,41.74959089949324,37,0.6859238743782043,0.6813433170318604,0.004580557346343994,0.1821626107601728,0.17748442291747077,0.00467818784270202,0.029508742207484673,0.026771474814972898,0.0027372673925117746
V2_right_u007,V2,right,0.057244892697781324,-4.571021982601711,4.637698079858508,0.47419002146593164,52.38672937665667,28,0.5986956357955933,0.5961596965789795,0.0025359392166137695,0.07508070227641599,0.0749684802981226,0.00011222197829338643,0.027577637699394218,0.026075175893053176,0.0015024618063410426
V2_right_u008,V2,right,-5.965214404192838,1.5857468360613067,6.332280787554654,0.8848966163667765,47.64868380806663,22,0.6696106195449829,0.6720137596130371,-0.0024031400680541992,0.14046958983429494,0.13429771272966784,0.006171877104627105,0.030269971312641152,0.030494888224467297,-0.00022491691182614446
V2_right_u009,V2,right,-4.405720215577346,4.654996156692505,6.435198252017681,1.1984985310297747,47.68580539409931,26,0.6789970993995667,0.6765077710151672,0.002489328384399414,0.1457990351448301,0.14909535261658285,-0.003296317471752741,0.032006001398249315,0.028850069082707167,0.003155932315542148
V3_left_u000,V3,left,0.40510281749712623,0.07853046068075029,0.6326955575707622,0.12010042142091235,52.97430967742746,176,0.5086497068405151,0.5177493095397949,-0.009099602699279785,0.05431101522566112,0.05688737347153117,-0.0025763582458700543,0.05170989875391418,0.07395374542820331,-0.02224384667428913
V3_left_u001,V3,left,1.8217959980810843,0.6454063283594986,2.037625907569803,0.31480694474071585,71.21875024610951,93,0.6044279932975769,0.6063474416732788,-0.0019194483757019043,0.10313295081679637,0.11920725275033751,-0.016074301933541146,0.04671030624616153,0.049656428844467956,-0.0029461225983064276
V3_left_u002,V3,left,1.3370569819534146,-1.666622650784415,2.2206176438847103,0.5286443429822857,63.09360377852981,74,0.6498879790306091,0.6465935707092285,0.0032944083213806152,0.18405741391755218,0.18981107106416625,-0.005753657146614077,0.049549750876323344,0.049299379613585374,0.0002503712627379695
V3_left_u003,V3,left,4.016566236813863,-0.8841004432884582,4.212184523091172,0.35004136120110296,63.07316225225275,66,0.6270942091941833,0.6293780207633972,-0.002283811569213867,0.09943132708082231,0.10526901574575333,-0.0058376886649310206,0.043705332335485944,0.043520001849606006,0.0001853304858799379
V3_left_u004,V3,left,1.7301507247818841,3.921239307191637,4.382576274871826,0.41214066886653505,53.17478773328993,45,0.6946841478347778,0.6916534304618835,0.003030717372894287,0.18986217796345606,0.196553358681551,-0.006691180718094936,0.03621613079493772,0.0375160594795145,-0.001299928684576783
V3_left_u005,V3,left,2.835542593044894,-4.207677548272269,5.175810977390834,0.5199608249855893,48.5808940070016,35,0.662600576877594,0.6627798676490784,-0.000179290771484375,0.15764183399219442,0.1425856559483118,0.015056178043882623,0.03649255107318522,0.032403373750170654,0.004089177323014566
V3_left_u006,V3,left,4.800327903694576,2.6911490485072136,5.638067258728875,0.657182889783548,39.65058411492242,36,0.6572682857513428,0.6577222347259521,-0.000453948974609375,0.11315330087103166,0.12347689747936429,-0.010323596608332625,0.03033115144717881,0.0329164280022971,-0.002585276555118289
V3_left_u007,V3,left,5.3337982944820235,-3.5584110695382822,6.53321303492007,0.9911680681549985,44.693158439967945,23,0.6392712593078613,0.6391228437423706,0.00014841556549072266,0.09677715529321049,0.09995453934965812,-0.0031773840564476297,0.03554541414309565,0.0315378552649306,0.004007558878165049
V3_right_u000,V3,right,-0.4445059751481179,-0.08836905833105652,0.8888926251164201,0.17739684501786393,49.48157322650053,196,0.5668575167655945,0.5709539651870728,-0.0040964484214782715,0.08729544732043057,0.09987130197104356,-0.012575854650612991,0.04687835404612285,0.0712677533672294,-0.02438939932110655
V3_right_u001,V3,right,-2.1425869497534347,-1.0253227614695588,2.4869376225014257,0.3759146110243993,66.13886882834238,73,0.6282864809036255,0.6331875324249268,-0.0049010515213012695,0.16126108590484894,0.17466533669305556,-0.013404250788206618,0.03574559955093752,0.04261980838480808,-0.006874208833870563
V3_right_u002,V3,right,-1.9486953100642643,2.721672219199103,3.412605098775915,0.5419923448683442,59.59395777212607,37,0.682338535785675,0.6821644902229309,0.00017404556274414062,0.19605580747988738,0.1906414662139502,0.005414341265937178,0.035071597029440474,0.03010377002547622,0.004967827003964254
V3_right_u003,V3,right,-3.683006147543589,0.6425446528527472,3.8237471183141074,0.6103660407631347,54.540400399102104,36,0.6535764336585999,0.6522727608680725,0.0013036727905273438,0.11725292281278851,0.12058329005481674,-0.0033303672420282315,0.03406068329605623,0.03318235659290996,0.0008783267031462691
V3_right_u004,V3,right,-1.0949922312508549,-4.356908308832269,4.545284246143542,0.49708296013832615,50.20550205833033,57,0.6699501276016235,0.6686864495277405,0.0012636780738830566,0.21689595028177489,0.19991055853746478,0.016985391744310102,0.04338794036914447,0.04096924655974302,0.002418693809401455
