ROI,Real_Local_Cos,Random_Local_Cos,Delta_Local_Cos,Real_Loc_MRR,Random_Loc_MRR,Delta_Loc_MRR,Real_Sample_MRR,Random_Sample_MRR,Delta_Sample_MRR
V1,0.6075628399848938,0.6074944138526917,6.842613220214844e-05,0.09816772809414796,0.09908322289588241,-0.0009154948017344455,0.031220801142775017,0.03387073654132327,-0.0026499353985482525
V2,0.6246748566627502,0.623903751373291,0.0007711052894592285,0.1136894721888527,0.11451306918456479,-0.000823596995712092,0.03112962416360654,0.03502314987389677,-0.0038935257102902313
V3,0.6408212184906006,0.6418260931968689,-0.0010048747062683105,0.13809134324798492,0.14035292569798843,-0.0022615824500035187,0.039358703854853856,0.041319528251460805,-0.0019608243966069486
hV4,0.6361138224601746,0.6355965733528137,0.0005172491073608398,0.1477053066633799,0.14757916577011168,0.0001261408932682062,0.0393830569576931,0.04154331900016987,-0.002160262042476775
