roi,expected_depth
V1,17.47162497161667
V2,17.228094800523927
V3,17.447706171481627
hV4,17.561735654233075
FFA,17.379105459319433
EBA,17.365042630183524
PPA,17.532225624688436
OPA,17.390229877201364
