roi,entropy
V1,1.4033861805243482
V2,1.4207210986527294
V3,1.4193301346021654
hV4,1.4058015193426976
FFA,1.4165477387999605
EBA,1.424228847359277
PPA,1.4009727512135404
OPA,1.4079459360674076
