roi,voxel_count,mean_feature_variance,median_feature_variance,near_zero_variance_fraction,representation_norm_mean,representation_norm_std,representation_norm_median,representation_norm_min,representation_norm_max,split_half_profile_spearman,bootstrap_profile_spearman_mean,bootstrap_profile_spearman_ci_2_5,bootstrap_profile_spearman_ci_97_5,mean_bootstrap_relation_std
V1,1350,0.0005560453877868948,0.00045511509720227864,0.0,5.366015207024414,0.11995433444537629,5.36087162985027,5.007410775634645,5.785353554862643,0.8928571428571429,0.9525,0.8571428571428573,1.0,0.012711231596767902
V2,1433,0.0005397826728478385,0.0004521763126446663,0.0,5.387461876035779,0.10798107914104012,5.386055631314415,5.020869479468227,5.812096375527297,0.8571428571428573,0.933214285714286,0.8214285714285715,1.0,0.01404703501611948
V3,1187,0.0005799542830692455,0.00046899219607575145,0.0,5.3739092818242495,0.11575872262039964,5.369704436322628,5.038833384941042,5.764288171798959,0.642857142857143,0.8585714285714288,0.6785714285714287,0.9830357142857141,0.014977301470935345
hV4,687,0.0005798870292880726,0.0004728655987314075,0.0,5.386466222167709,0.1078308264609107,5.381982186594775,4.9837589429433695,5.804668452004236,0.9285714285714288,0.9132142857142859,0.7312500000000002,1.0,0.015010274015367031
FFA,687,0.0006972362526939734,0.0005373510677586257,0.0,5.383230194396743,0.1389586160771053,5.377704387989707,4.975113716724783,5.947548405924676,0.9642857142857145,0.9900000000000001,0.9642857142857145,1.0,0.014605931006371975
EBA,2238,0.0008616732015525163,0.0006720014287913399,0.0,5.407389127749321,0.1299168225932148,5.403251860200401,5.042965514051557,5.890108283040559,0.9642857142857145,0.9732142857142858,0.9285714285714288,1.0,0.014792700298130512
PPA,720,0.0007762732455178594,0.0005839328923046244,0.0,5.567527568609342,0.10895235144138647,5.5631169418775235,5.250759947287063,6.051216994990672,0.9642857142857145,0.9821428571428571,0.9642857142857145,1.0,0.01494787447154522
OPA,1532,0.00077656910910641,0.0005971370433237603,0.0,5.408270720589909,0.12326395329413413,5.401814500043026,4.941832388245591,5.907105965303509,0.9642857142857145,0.980357142857143,0.9285714285714288,1.0,0.01458381675183773
