node,L4,L8,L12,L16,L20,L24
L4,0,0.124856394,0.405013203,0.684964815,0.874818591,0.873964862
L8,0.124856394,0,0.25253117,0.551627387,0.765281371,0.812819854
L12,0.405013203,0.25253117,0,0.208436271,0.508573606,0.699705359
L16,0.684964815,0.551627387,0.208436271,0,0.289665124,0.6274423
L20,0.874818591,0.765281371,0.508573606,0.289665124,0,0.41288861
L24,0.873964862,0.812819854,0.699705359,0.6274423,0.41288861,0
