run,method,gamma,architecture_48_tokens,selected_epoch,CIDEr,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,validation_lm_loss,selected_checkpoint,selected_checkpoint_sha256,training_time_seconds,peak_gpu_memory_bytes,trainable_parameter_count,frozen_parameter_count,fgw_trainable_correspondence_parameter_count,leakage_assertions_passed
uniform_prior,Uniform prior,0.0,True,2,0.4003704294917705,0.5234883160684173,0.3491909332236317,0.24146435762256457,0.1709039457453991,0.40878382571053395,1.9156424804528553,checkpoint_epoch002.pt,1984f72f69937971dfd2079e062e43816b4e191ab7e3f115c4b81f6c1da8af87,4549.916787989903,19675003904,40167424,6890397052,0,True
fgw_gamma025,FGW,0.25,True,2,0.42219941286267226,0.5270303628733646,0.35062938707306124,0.23727991484700273,0.1636082912138337,0.4110139225845322,1.9199490022659302,checkpoint_epoch002.pt,e2bcdff6560e87e13f8fec857477b7fff9804386edbb657624db665f8f072151,4572.927070399281,19675003904,40167424,6890397052,0,True
fgw_gamma050,FGW,0.5,True,1,0.4150722314371146,0.5128589263420724,0.34382210002149793,0.2356661844279469,0.164803740239906,0.4027829894651382,1.9446665271123251,checkpoint_epoch001.pt,900b90c231396c934f96fd23e758d037bb0abce0e80344ba875a0ea374f36171,4588.61830948526,19675003904,40167424,6890397052,0,True
fgw_gamma100,FGW,1.0,True,1,0.3936401297660021,0.5147689977278465,0.3418273743694299,0.23409412295105556,0.1643290568482566,0.39705388215732523,1.9383742455641428,checkpoint_epoch001.pt,edab9eb76642abddaaeee00c23ecbfa86fdffe354e1fd18269a4503837852f29,4913.496438623406,19675003904,40167424,6890397052,0,True
row_shuffled_fgw,Row-shuffled FGW,0.25,True,3,0.4428686199127886,0.5299248849042888,0.36077950035030515,0.2520708689224981,0.18178076330006424,0.4151117133607011,1.9113587148984272,checkpoint_epoch003.pt,82ec4e71ebe874a5c1bb9ef141aee52aaa6e4c422415110d9d237c2d8f5259b9,5603.212869622745,19675003904,40167424,6890397052,0,True
