subject,method,protocol,unique_ids,average_positives_per_query,R@1,R@5,R@10,median_rank,mean_rank
subj01,mean_l24,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.016666666666666666,0.03333333333333333,146.5,149.36333333333334
subj01,mean_routed,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.013333333333333334,0.03333333333333333,148.0,148.57666666666665
subj01,attn_l24,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.02,0.03333333333333333,147.5,149.42666666666668
subj01,attn_routed,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.013333333333333334,0.03333333333333333,149.0,148.41
