method,direction,recall_at_1,recall_at_5,recall_at_10,median_rank,mean_rank
mean_l24,brain_to_image,0.0033333333333333335,0.016666666666666666,0.03333333333333333,146.5,149.36333333333334
mean_l24,image_to_brain,0.0033333333333333335,0.01,0.03,135.5,137.09333333333333
mean_routed,brain_to_image,0.0033333333333333335,0.013333333333333334,0.03333333333333333,148.0,148.57666666666665
mean_routed,image_to_brain,0.0,0.01,0.04,115.0,126.64
attn_l24,brain_to_image,0.0033333333333333335,0.02,0.03333333333333333,147.5,149.42666666666668
attn_l24,image_to_brain,0.006666666666666667,0.01,0.02666666666666667,134.5,136.84666666666666
attn_routed,brain_to_image,0.0033333333333333335,0.013333333333333334,0.03333333333333333,149.0,148.41
attn_routed,image_to_brain,0.0033333333333333335,0.02,0.05,114.5,126.90666666666667
