roi,expected_depth
V1,15.041487395763397
V2,14.968428470429565
V3,15.034311845387343
hV4,15.068520710893285
FFA,15.01373165845871
EBA,15.009512901306152
PPA,15.05966769247752
OPA,15.017069019250057
