roi,entropy
V1,1.7604255360374328
V2,1.7618116909394808
V3,1.7615977792955606
hV4,1.7605087208355696
FFA,1.7612925239120851
EBA,1.7618631399907723
PPA,1.7601186422474153
OPA,1.7608481019010385
