roi,expected_depth
V1,16.16233951216205
V2,16.02705207446924
V3,16.106243398599524
hV4,16.16868355618889
FFA,16.09183206949013
EBA,16.07327440544831
PPA,16.16214051721885
OPA,16.128600509890923
