roi,entropy
V1,1.6535870713340417
V2,1.6614824244842805
V3,1.6615630570750313
hV4,1.6554820654937004
FFA,1.6611434304446067
EBA,1.6646133852001843
PPA,1.6537795115867315
OPA,1.6552558230518772
