initialization_kind,initialization_seed,iteration,total_objective,feature_raw,feature_normalized,gw_raw,gw_normalized,coverage_loss,entropy_loss,shannon_plan_entropy,gradient_norm,step_norm,source_marginal_feasibility_error,objective_improvement,learning_rate
uniform,0,0,0.9947714048777938,0.16505683872680882,0.9073824318633349,0.20106652807509745,0.9947714048777938,0.09311185056961765,-3.7726799104498197,3.7726799104498197,13.996078764475271,0.06635536825910332,8.326672684688674e-17,0.005228595117258705,0.05
uniform,0,1,0.991352958437524,0.18046862884621828,0.9921071103788559,0.20037558023141658,0.991352958437524,0.004383454362588256,-3.844502851788959,3.844502851788959,13.39237237045899,0.06966379592847485,8.326672684688674e-17,0.0034184464402697845,0.052500000000000005
uniform,0,2,0.9805952774643504,0.16327091008135883,0.8975644789088076,0.1982012017231388,0.9805952774643504,0.1318351999804693,-3.630354969319769,3.630354969319769,14.001205291802156,0.08503502837361894,1.1102230246251565e-16,0.010757680973173644,0.05512500000000001
uniform,0,3,0.9502319462915321,0.18249221742260047,1.003231573549798,0.1920640635326186,0.9502319462915321,0.030401204046496155,-3.5592753309662815,3.5592753309662815,13.417954759877219,0.11107449255970127,1.1102230246251565e-16,0.03036333117281831,0.05788125000000001
uniform,0,4,0.8304770699796359,0.15958281839087174,0.877289586739159,0.16785880684547674,0.8304770699796359,0.2470433266190443,-3.152743638797057,3.152743638797057,14.420262081865886,0.1436616531411731,5.551115123125783e-17,0.11975487631189619,0.06077531250000001
uniform,0,5,0.6486958973304041,0.16557721214242338,0.910243129420489,0.13111658740211526,0.6486958973304041,0.12391107212253641,-3.076705345851053,3.076705345851053,13.980739309642658,0.12042792766888519,2.7755575615628914e-17,0.18178117264923177,0.06381407812500002
uniform,0,6,0.506761452352537,0.1616210998669657,0.8884948225649906,0.10242832201166449,0.506761452352537,0.1540884492103228,-2.767457087372209,2.767457087372209,14.59541592738025,0.07497984048943433,5.551115123125783e-17,0.1419344449778671,0.06700478203125003
uniform,0,7,0.46194935478622656,0.16590137320164192,0.9120251703979971,0.09337075076540671,0.46194935478622656,0.110376393915182,-2.759209179994407,2.759209179994407,14.704116434852834,0.049636180766142596,0.0,0.04481209756631044,0.07035502113281253
uniform,0,8,0.41668658674940595,0.17090617387045387,0.939538530261712,0.08422208849424902,0.41668658674940595,0.10346799624174773,-2.6850316986000458,2.6850316986000458,14.821172586102472,0.05569715191550868,0.0,0.04526276803682061,0.07387277218945316
uniform,0,9,0.3959759363358503,0.1725731466948594,0.9487025362303632,0.08003598246786772,0.3959759363358503,0.16030366161534546,-2.6168219672887423,2.6168219672887423,14.988566627323271,0.03807639698057756,1.3877787807814457e-17,0.02071065041355563,0.07756641079892583
uniform,0,10,0.3810509825739467,0.17340087555084588,0.9532528876611911,0.07701930082636439,0.3810509825739467,0.2165298983750195,-2.532537350550577,2.532537350550577,15.199917995428647,0.03323042772717767,1.3877787807814457e-17,0.014924953761903614,0.08144473133887213
uniform,0,11,0.3707833862440066,0.17400425365716976,0.9565698946853922,0.07494397986758462,0.3707833862440066,0.21397094307244752,-2.480923249818315,2.480923249818315,15.308644976482825,0.02530573550436103,0.0,0.01026759632994012,0.08551696790581574
uniform,0,12,0.3580620883571142,0.17516515923632497,0.9629518497482846,0.0723727085320955,0.3580620883571142,0.2096115938729272,-2.4233593469234,2.4233593469234,15.32492063024415,0.030556829817942662,1.3877787807814457e-17,0.012721297886892358,0.08979281630110653
uniform,0,13,0.34718257463447283,0.17575783683611004,0.9662100318748308,0.07017370478044904,0.34718257463447283,0.21006351548255145,-2.3723926337415873,2.3723926337415873,15.348669992846848,0.02714994234300509,2.7755575615628914e-17,0.010879513722641398,0.09428245711616186
uniform,0,14,0.3383129752355272,0.1765363271959204,0.9704896999050423,0.06838095164357932,0.3383129752355272,0.2169600407450124,-2.320963153242989,2.320963153242989,15.339703300006668,0.02939330912011428,1.3877787807814457e-17,0.008869599398945605,0.09899657997196995
uniform,0,15,0.3338621744346363,0.17628231925417892,0.9690933182363525,0.06748134087893441,0.3338621744346363,0.22856694065575106,-2.2816409199802097,2.2816409199802097,15.308546422035601,0.017612007932537314,0.0,0.004450800800890942,0.1
uniform,0,16,0.33156402290780884,0.1755761957132363,0.9652114791031254,0.06701683079528716,0.33156402290780884,0.24287459130091524,-2.260765383948521,2.260765383948521,15.285823214405474,0.015204674936078612,0.0,0.002298151526827441,0.1
uniform,0,17,0.32926328574861713,0.17491900251795295,0.9615986293457929,0.06655179809496656,0.32926328574861713,0.25981686878099997,-2.2339912478077144,2.2339912478077144,15.266859950857304,0.01511686310587436,0.0,0.0023007371591917125,0.1
uniform,0,18,0.32747400502613216,0.17440628626338422,0.9587800262178338,0.06619014268261988,0.32747400502613216,0.27446974855570083,-2.2050463035829857,2.2050463035829857,15.25177247366008,0.011627653851544892,0.0,0.001789280722484965,0.1
