roi,voxel_count,mean_feature_variance,median_feature_variance,near_zero_variance_fraction,representation_norm_mean,representation_norm_std,representation_norm_median,representation_norm_min,representation_norm_max,stimulus_subset_profile_spearman_mean,stimulus_subset_profile_spearman_median,stimulus_subset_profile_spearman_ci_2_5,stimulus_subset_profile_spearman_ci_97_5,single_roi_real_mean_rdm_spearman,single_roi_permutation_null_mean,single_roi_permutation_p,repeat_measurement_reliability
V1,1350,0.028303882139938584,0.02708040899714123,0.0,33.91278501664735,0.21029333378655202,33.90953655856016,33.13025162806766,34.63799332182624,0.9664285714285714,0.9642857142857145,0.8928571428571429,1.0,0.20753390831092527,-0.0004611918843044824,0.009900990099009901,NOT_AVAILABLE
V2,1433,0.027903906515011102,0.026963343783784385,0.0,34.1007494490925,0.24279355717827708,34.08156124799031,33.32183229291873,35.19261995688295,0.9017857142857142,0.8928571428571429,0.8214285714285715,1.0,0.24949736099040193,-0.0007592567371328353,0.009900990099009901,NOT_AVAILABLE
V3,1187,0.027847336764003618,0.026714541430766327,0.0,33.55967583536957,0.20389289037590094,33.55399479101901,32.92142144335197,34.55922388803818,0.9371428571428573,0.9642857142857145,0.8571428571428573,1.0,0.30869508976775756,0.0002925682642409147,0.009900990099009901,NOT_AVAILABLE
hV4,687,0.027097698056464063,0.026133863957604343,0.0,32.94846587335224,0.19675221459180547,32.94340558696545,32.27901687190227,33.76094472022165,0.9153571428571429,0.9285714285714288,0.7312500000000002,1.0,0.27885523843867865,0.0012422483005252683,0.009900990099009901,NOT_AVAILABLE
FFA,687,0.029236771946101484,0.027364820484331434,0.0,32.911088401885685,0.19887756667359746,32.90620126409332,32.23006046729686,33.670909796597,0.9992857142857143,1.0,1.0,1.0,0.2759571647537637,0.0002938150170248948,0.009900990099009901,NOT_AVAILABLE
EBA,2238,0.03544800501771694,0.033139274849241465,0.0,33.125701530128055,0.24896553410955202,33.11789650967535,32.391992001334316,34.20295315148908,0.9996428571428573,1.0,1.0,1.0,0.3062627998588224,0.0013637125671454497,0.009900990099009901,NOT_AVAILABLE
PPA,720,0.029864754273979256,0.028049246243234457,0.0,33.14514984342634,0.24557767493831342,33.125276740744674,32.20520176876945,34.23279851825876,0.9728571428571431,0.9642857142857145,0.9642857142857145,1.0,0.2614276037841946,0.0006417939038953651,0.009900990099009901,NOT_AVAILABLE
OPA,1532,0.031152921488835875,0.02950502837431074,0.0,33.47521659510556,0.2685268350857166,33.46456450506334,32.70339205707081,34.60455437627687,0.9942857142857144,1.0,0.9642857142857145,1.0,0.3049364820410032,-0.0004682932045497936,0.009900990099009901,NOT_AVAILABLE
