ROI,local_cos,local_mse,unit_localization_r1,unit_localization_mrr,local_sample_r1,local_sample_mrr,locality_gap
V1,0.6075628399848938,0.14687639474868774,0.024912280701754386,0.09816772809414796,0.008070175438596491,0.031220801142775017,-0.12388750910758972
V2,0.6246748566627502,0.1425190418958664,0.03070175438596491,0.1136894721888527,0.006666666666666667,0.03112962416360654,-0.10571455210447311
V3,0.6408212184906006,0.1232156977057457,0.041041666666666664,0.13809134324798492,0.011875,0.039358703854853856,-0.0943722054362297
hV4,0.6361138224601746,0.12591588497161865,0.05366666666666667,0.1477053066633799,0.010666666666666666,0.0393830569576931,-0.098977230489254
