method,direction,recall_at_1,recall_at_5,recall_at_10,median_rank,mean_rank
soft,brain_to_image,0.009166666666666667,0.03166666666666666,0.05750000000000001,120.875,129.42416666666668
soft,image_to_brain,0.026666666666666665,0.12499999999999999,0.2175,39.375,61.318333333333335
uniform,brain_to_image,0.004166666666666667,0.0275,0.05083333333333334,124.375,133.0325
uniform,image_to_brain,0.022500000000000003,0.08833333333333333,0.15166666666666667,56.625,77.77666666666667
single_L24,brain_to_image,0.014166666666666668,0.04666666666666667,0.07583333333333334,109.75,121.735
single_L24,image_to_brain,0.06333333333333334,0.18416666666666665,0.31,28.0,45.82
soft_contrastive_w005,brain_to_image,0.010833333333333334,0.04833333333333333,0.09916666666666667,94.625,112.08416666666666
soft_contrastive_w005,image_to_brain,0.04666666666666666,0.1775,0.28833333333333333,29.125,48.23583333333333
