subject,soft_vs_uniform_percent,soft_vs_single_l24_percent
subj01,199.99999999999997,49.99999999999999
subj02,199.99999999999997,-57.142857142857146
subj05,100.0,-33.33333333333333
subj07,0.0,-50.0
