subject,role,brain_final_train_vs_test_spearman,clip_final_train_vs_test_spearman,brain_geometry_frobenius_distance,clip_geometry_frobenius_distance,delta_gw_normalized,delta_composite,maximum_structural_null_p,offline_test_status
subj01,development subject,0.9923371647509577,0.9964285714285712,0.11233263071963247,0.07623007646706251,-0.24950932944088638,-0.1665243317987064,0.004975124378109453,EXPLORATORY_PASS
subj02,replication subject,0.9967159277504104,1.0,0.10996162958194235,0.07541426858020295,-0.23037077326498195,-0.155516470712887,0.004975124378109453,EXPLORATORY_PASS
subj05,replication subject,0.9934318555008209,0.9964285714285712,0.08982181485455669,0.06465784389974609,-0.33430909811232534,-0.20568393467185242,0.009950248756218905,EXPLORATORY_PASS
