subject,role,offline_test_status,final_plan_sha256,offline_test_composite,delta_feature_normalized,delta_gw_normalized,delta_composite,maximum_structural_null_p,feature_pairing_p
subj01,development subject,EXPLORATORY_PASS,51e65527f3bbc1a3951ec376dd8be3662cab9e6b5f682d2a0da26fb347e20760,0.5508211997803636,-0.08353933415652648,-0.24950932944088638,-0.1665243317987064,0.004975124378109453,0.047619047619047616
subj02,replication subject,EXPLORATORY_PASS,a3d3ab31770ecc0fc62599597538a7b931df2721fdd22aabb13e8e7e8f7c8da0,0.5319314048726002,-0.08066216816079219,-0.23037077326498195,-0.155516470712887,0.004975124378109453,1.0
subj05,replication subject,EXPLORATORY_PASS,a3d3ab31770ecc0fc62599597538a7b931df2721fdd22aabb13e8e7e8f7c8da0,0.4846096860087947,-0.07705877123137961,-0.33430909811232534,-0.20568393467185242,0.009950248756218905,1.0
