unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,local_cos,local_mse,localization_r1,localization_r5,localization_mrr,sample_r1,sample_r5,sample_mrr,locality_gap
V1_left_u000,V1,left,0.4239588753800959,-0.17445561120985076,0.6657114062458277,0.11224020593198797,39.309649947381786,155,0.6517103910446167,0.15228505432605743,0.02666666666666667,0.14333333333333334,0.11934359618606559,0.0033333333333333335,0.023333333333333334,0.025131715813101713,-0.09015753865242004
V1_left_u001,V1,left,1.6706711236421052,0.5624511099445659,1.8499520372700047,0.18992340805529206,63.86114286302446,111,0.5948656797409058,0.20407751202583313,0.016666666666666666,0.06333333333333334,0.06937787608103096,0.01,0.023333333333333334,0.030894392268651025,-0.15157650411128998
V1_left_u002,V1,left,0.5021996440010547,1.885696730128041,1.9894016627912168,0.2591422176402476,51.96803670459323,54,0.5246090888977051,0.16079962253570557,0.013333333333333334,0.056666666666666664,0.06171284473715502,0.0033333333333333335,0.023333333333333334,0.02440326430634893,-0.16868743300437927
V1_left_u003,V1,left,1.217417696416378,-2.1237831819057464,2.523110640048981,0.36548877161927523,56.317738151550294,50,0.6153791546821594,0.1501755267381668,0.023333333333333334,0.05,0.07280953840518047,0.006666666666666667,0.03,0.027673778481270384,-0.14404167234897614
V1_left_u004,V1,left,3.0383826111044203,-0.20696251162995136,3.1059283784457614,0.2851355148096835,70.25635170936584,56,0.6280645132064819,0.12142816931009293,0.04,0.18333333333333332,0.13492072715960238,0.006666666666666667,0.043333333333333335,0.03197601940559124,-0.11065292358398438
V1_left_u005,V1,left,1.3248585116287523,3.818005708130923,4.112915515899658,0.41750708902889694,57.79808280684731,44,0.6178926825523376,0.1389884501695633,0.03,0.16666666666666666,0.1154616780664157,0.006666666666666667,0.03333333333333333,0.03189962553382025,-0.12340608239173889
V1_left_u006,V1,left,3.7810356409653374,1.8874489768691685,4.281675297281017,0.20489296381888183,61.171027183532715,46,0.5943057537078857,0.163901224732399,0.023333333333333334,0.09333333333333334,0.08414367452249802,0.006666666666666667,0.04666666666666667,0.036785912063008984,-0.1604171246290207
V1_left_u007,V1,left,3.6836131186712358,-2.5017961802936735,4.541570595332554,0.27732503084865,53.24787787028721,42,0.6593151688575745,0.1262499839067459,0.04666666666666667,0.20333333333333334,0.14603391438100222,0.0033333333333333335,0.02666666666666667,0.024920374636902966,-0.08834704011678696
V1_left_u008,V1,left,4.655438852310181,-0.17416556419588491,4.701478024891444,0.4604617081848638,58.90195050920759,35,0.5605440139770508,0.14982208609580994,0.0,0.06,0.05364705003705481,0.0033333333333333335,0.023333333333333334,0.024685364097847676,-0.17182089388370514
V1_left_u009,V1,left,1.7897954285144806,-5.520128831267357,5.8772086054086685,0.7647762239794247,50.25316712260246,32,0.5715938806533813,0.18856632709503174,0.006666666666666667,0.03666666666666667,0.05208145965680892,0.0,0.01,0.01827999229601695,-0.18092189729213715
V1_right_u000,V1,right,-0.3168950729039399,0.19269293830004314,0.6490916708460102,0.12060638974033683,33.42965958954452,154,0.6267366409301758,0.16350342333316803,0.006666666666666667,0.08,0.0754295577311434,0.006666666666666667,0.03,0.027833091441575863,-0.12276865541934967
V1_right_u001,V1,right,-0.3757270960558876,-1.637372104507504,1.7700872565760757,0.43155157949888345,38.4393817728216,66,0.630268394947052,0.157856747508049,0.02666666666666667,0.09666666666666666,0.09405883064950972,0.006666666666666667,0.02,0.026372269205956127,-0.12934185564517975
V1_right_u002,V1,right,-1.721772711488265,-0.038388772646279094,1.818220823625975,0.28086326342028906,52.7352299871324,79,0.6444445252418518,0.1179770901799202,0.03333333333333333,0.15333333333333332,0.11993870245440452,0.0,0.02,0.02215122656348652,-0.11572641879320145
V1_right_u003,V1,right,-2.264206539643438,-1.2945361133762794,2.675206193798467,0.3091816579628932,58.808548500663356,76,0.5761890411376953,0.13467460870742798,0.023333333333333334,0.07333333333333333,0.08116862957562387,0.0,0.03,0.027267412260031793,-0.13845320045948029
V1_right_u004,V1,right,-1.3856632061302663,2.486203193664551,2.898894506692886,0.2340863219113089,53.13295233249664,40,0.6145943999290466,0.14322219789028168,0.006666666666666667,0.06666666666666667,0.06438159226801617,0.006666666666666667,0.03333333333333333,0.02706998274896879,-0.13948480784893036
V1_right_u005,V1,right,-4.002029527788577,-0.8697085772519526,4.169914924580118,0.34081945596667734,60.8337110851122,46,0.6047345995903015,0.1323222815990448,0.023333333333333334,0.12666666666666668,0.10416899945909842,0.006666666666666667,0.02666666666666667,0.02857289663507825,-0.12548884749412537
V1_right_u006,V1,right,-3.576620666186015,2.5813695271809896,4.497878567377726,0.24891732425118487,52.422839069366454,30,0.529862642288208,0.15928086638450623,0.0033333333333333335,0.04,0.047592117177732984,0.0033333333333333335,0.02,0.024128509436453758,-0.18580375611782074
V1_right_u007,V1,right,-0.5100042034279216,-4.4762458078788985,4.566029151280721,0.3077502272120028,51.25651694789077,33,0.639879584312439,0.13370093703269958,0.03666666666666667,0.17,0.13243461712827004,0.0033333333333333335,0.03333333333333333,0.030730149782831458,-0.1043698862195015
V1_right_u008,V1,right,-3.398303256716047,-3.6698380674634663,5.066430568695068,0.40297577530145645,40.62640023912702,35,0.6137651801109314,0.12076687067747116,0.043333333333333335,0.15666666666666668,0.12395817479292484,0.0,0.016666666666666666,0.021322783795546325,-0.11450934410095215
V2_left_u000,V2,left,0.37780296901268334,0.03572648673109464,0.5813239063355414,0.1166771949707147,42.92456350887523,170,0.6334365010261536,0.14845098555088043,0.01,0.09333333333333334,0.0832315697912413,0.006666666666666667,0.023333333333333334,0.027556071492863144,-0.09920510649681091
V2_left_u001,V2,left,1.8035060751671885,0.7146594375737158,2.0473596418605133,0.24761240980496593,66.78071951398663,102,0.5095586180686951,0.16415739059448242,0.0033333333333333335,0.03,0.04952422118183995,0.013333333333333334,0.03666666666666667,0.03929112304831848,-0.16710767149925232
V2_left_u002,V2,left,1.239964684323659,-1.8630914489428203,2.33002031227899,0.4416257141837998,62.55006348140656,63,0.610365629196167,0.3376297056674957,0.02666666666666667,0.13,0.09693996859185368,0.0,0.01,0.017152751925064925,-0.12217962741851807
V2_left_u003,V2,left,0.48419606642044605,2.573078528363654,2.6588792445811817,0.25816099070250353,62.55694186433833,47,0.6287257075309753,0.11415672302246094,0.023333333333333334,0.21666666666666667,0.13212927611698655,0.0033333333333333335,0.023333333333333334,0.02403097776312136,-0.11524340510368347
