roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.16034743323456496,0.11592918604301909,0.14369879965049526,0.11414269014261663,0.07143358904247482,0.39444830221434435
V2,0.08095850392632807,0.04654202486854046,0.12488976010431846,0.15766193691641092,0.16802972475687664,0.4219180461764336
V3,0.04671569494375338,0.07861700504086912,0.07736118248663842,0.10808552942549189,0.21325010386606058,0.47597048754493393
hV4,0.13613353056212266,0.1313131648519387,0.1691397840032975,0.1253978872547547,0.07519077543790141,0.36282486237585543
FFA,0.12527552642781908,0.13108347619107613,0.07355789779530217,0.07957736281678081,0.08223496458182732,0.5082707719008128
EBA,0.08926731808731954,0.19220400388973455,0.07849746034791072,0.08685557081053655,0.0996118973257641,0.453563749541839
PPA,0.16487383815459908,0.07144562845584006,0.09722765257582068,0.10000036933769782,0.12200081353386243,0.4444517027835051
OPA,0.07912332692261165,0.0644697270495817,0.0945406602959459,0.1175821628421545,0.1998105036964019,0.4444736206531525
