name,router_type,best_val_loss,final_val_loss,routing_entropy,max_weight_mean,near_uniform,collapsed_to_single_layer
soft0,soft,1.1602463910454197,1.1602463910454197,0.89320571950743,0.7259608363097749,False,False
uniform,uniform,1.2515407988899632,1.2515407988899632,1.7917594692280547,0.16666666666666666,True,False
balance001,soft,1.1656755146227384,1.1656755146227384,1.043809934064173,0.6855209310157437,False,False
balance005,soft,1.1847943318517584,1.1847943318517584,1.3908479569724723,0.5345177334240472,False,False
balance01,soft,1.199977993965149,1.199977993965149,1.5510700011833738,0.43824019232186995,False,False
tau2,soft,1.1514273129011456,1.1514273129011456,0.8587301175622489,0.7613794865504121,False,False
tau2_balance005,soft,1.1836014421362626,1.1836014421362626,1.3733354032177845,0.5501580029751318,False,False
