roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.17770785870340963,0.1083374140240873,0.11549074535801386,0.08974439864357313,0.054257298617934185,0.454462286606431
V2,0.06955213561227234,0.03711759725119919,0.09346560357526566,0.12243892629165203,0.17135060485452414,0.5060751319428285
V3,0.035923805533675475,0.058901023582244916,0.05712169999955222,0.0812283037789166,0.19452295530587435,0.5723022138079007
hV4,0.13671834419791898,0.12096035272193452,0.1281102519761771,0.09487898369630178,0.060862821818639834,0.4584692442417145
FFA,0.12039257833734154,0.11149983494387318,0.052784336926803614,0.05180242773378268,0.04953330621123314,0.6139875129858653
EBA,0.08227240362825493,0.17078378876205533,0.0567207803701361,0.059374104974170526,0.07088452554618319,0.5599643953641256
PPA,0.14183483748502718,0.05433224593405612,0.0706398552376777,0.0705189060062791,0.0902505346511801,0.5724236221114795
OPA,0.0658449757786002,0.0493120348546654,0.0711021087761037,0.08927753246428134,0.18600588847883046,0.5384574600060781
