roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.15691597140859811,0.11291590688284486,0.09506748423989242,0.07640088328082735,0.050691378169382614,0.5080083744227886
V2,0.06271725788596086,0.045642860566731544,0.08381751149349535,0.10816888622008264,0.16685550572350621,0.5327979781230291
V3,0.036943431555603944,0.051134164674052345,0.05956771479298671,0.08232366407290101,0.1782684353366494,0.5917625893155734
hV4,0.14067957354864727,0.12973556659494836,0.11394028484510879,0.09062944790348411,0.06197010640054941,0.4630450169245402
FFA,0.11669467729981989,0.10269805612818649,0.06018917871251082,0.05432242135284469,0.04537490576816102,0.6207207625607649
EBA,0.10099821793225905,0.14072695284616202,0.067804722096771,0.06477023027216394,0.06722997969016432,0.5584698964158694
PPA,0.13783879131932433,0.07150654716882855,0.0747074920241721,0.07075530317767213,0.07736634676655134,0.5678255239129066
OPA,0.05834048953567011,0.05300583694673454,0.07225093056835855,0.08948286107663686,0.1682859981463601,0.5586338812112808
