name,output_dir,best_val_loss,final_val_loss,bleu_1,bleu_2,bleu_3,bleu_4,cider,meteor,rouge_l,spice,num_generated_captions,uses_image_tokens_at_eval,fusion_mode,mllm_bridge_type
l24_only,/opt/data/private/BA/UMBRAE/umbrae/stage2_outputs/subj01_real_3epochs/l24_only,2.2088840091228485,2.2088840091228485,0.23336006415396954,0.09778685704998667,0.046487443086826966,0.026987133106168768,0.1828435289124721,,0.22052072348276558,,300,False,l24_only,generic_inputs_embeds_prefix
routed_only,/opt/data/private/BA/UMBRAE/umbrae/stage2_outputs/subj01_real_3epochs/routed_only,2.186036073764165,2.186036073764165,0.22824974411463667,0.10551840531040342,0.057675132070727775,0.03588519638403568,0.21229296282248045,,0.22129967213922247,,300,False,routed_only,generic_inputs_embeds_prefix
concat_soft,/opt/data/private/BA/UMBRAE/umbrae/stage2_outputs/subj01_real_3epochs/concat_soft,2.1543452489376067,2.1543452489376067,0.23713188220230474,0.10543521598111615,0.05482752817492923,0.03195039864449613,0.20116811660517792,,0.22640907739324742,,300,False,concat,generic_inputs_embeds_prefix
concat_uniform,/opt/data/private/BA/UMBRAE/umbrae/stage2_outputs/subj01_real_3epochs/concat_uniform,2.1831073820590974,2.1831073820590974,0.2122803013010728,0.09292350749160588,0.050382244685585734,0.03155898811061766,0.17547795929731316,,0.21209582518264425,,300,False,concat,generic_inputs_embeds_prefix
concat_single_l24,/opt/data/private/BA/UMBRAE/umbrae/stage2_outputs/subj01_real_3epochs/concat_single_l24,2.2037850828965504,2.2037850828965504,0.22562469377756003,0.10333776590398229,0.056239198288867184,0.03505058235041367,0.19520939964069622,,0.22310463598370744,,300,False,concat,generic_inputs_embeds_prefix
