roi,L4,L8,L12,L16,L20,L24
V1,0.15196967124938965,0.15395407378673553,0.17152638733386993,0.1843663454055786,0.15423287451267242,0.18395064771175385
V2,0.15215915441513062,0.15416601300239563,0.17250008881092072,0.18495197594165802,0.15443357825279236,0.18178918957710266
V3,0.15217338502407074,0.1542740911245346,0.17179392278194427,0.1830565482378006,0.1543492078781128,0.184352844953537
hV4,0.1520379461044379,0.15419718393389606,0.17134083552150672,0.1829418661752065,0.15407193967592805,0.1854102285890247
FFA,0.15227501094341278,0.1539219170808792,0.1714927703142166,0.18473467230796814,0.15451200306415558,0.18306362628936768
EBA,0.152288439158923,0.1541623049104557,0.17145575838470098,0.18439406431308483,0.15462711683850164,0.18307231639433377
PPA,0.15212000906467438,0.1539101004600525,0.17123784124851227,0.18385493755340576,0.15403051674365997,0.18484659492969513
OPA,0.1519959740638133,0.15393553903602866,0.17197937029569402,0.18461914635627188,0.15434581271329242,0.18312415753489966
