roi,entropy
V1,1.7882729579936898
V2,1.7884321779974304
V3,1.7884051714295288
hV4,1.7882794726013196
FFA,1.788368475325641
EBA,1.7884322764009764
PPA,1.7882358181251643
OPA,1.7883230137429518
