roi,L4,L8,L12,L16,L20,L24
V1,0.169891959,0.253093296,0.233605969,0.185186453,0.213265429,0.107494292
V2,0.165275771,0.2455631,0.228158026,0.182195577,0.210899683,0.106470385
V3,0.162230395,0.234864331,0.213245022,0.171711146,0.202935835,0.102688855
hV4,0.161475007,0.234889405,0.213191022,0.170985272,0.20132797,0.101844858
FFA,0.170815824,0.24219361,0.21116428,0.164719044,0.193921097,0.0980002725
EBA,0.177118994,0.244365817,0.206931822,0.159292289,0.189032535,0.0955515509
PPA,0.169023534,0.23717249,0.204977743,0.160004786,0.190911112,0.0965421889
OPA,0.166462074,0.233066267,0.2013634,0.159024487,0.19059326,0.0966727069
