unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,local_cos,local_mse,localization_r1,localization_r5,localization_mrr,sample_r1,sample_r5,sample_mrr,locality_gap
V1_left_u000,V1,left,0.4239588753800959,-0.17445561120985076,0.6657114062458277,0.11224020593198797,39.309649947381786,155,0.5220769047737122,0.1578337401151657,0.016666666666666666,0.07666666666666666,0.07157087988353221,0.02,0.03666666666666667,0.04627644667040892,-0.14643104374408722
V1_left_u001,V1,left,1.6706711236421052,0.5624511099445659,1.8499520372700047,0.18992340805529206,63.86114286302446,111,0.5597456097602844,0.1460294872522354,0.0,0.06666666666666667,0.060586941092789434,0.013333333333333334,0.04666666666666667,0.04215144202071566,-0.1480357050895691
V1_left_u002,V1,left,0.5021996440010547,1.885696730128041,1.9894016627912168,0.2591422176402476,51.96803670459323,54,0.6186442971229553,0.13716953992843628,0.03333333333333333,0.19666666666666666,0.12385260598328576,0.006666666666666667,0.03333333333333333,0.032096358026564374,-0.12376738339662552
V1_left_u003,V1,left,1.217417696416378,-2.1237831819057464,2.523110640048981,0.36548877161927523,56.317738151550294,50,0.6354621648788452,0.11899280548095703,0.056666666666666664,0.21666666666666667,0.15873885777829694,0.01,0.03666666666666667,0.03616690257178496,-0.09070706367492676
V1_left_u004,V1,left,3.0383826111044203,-0.20696251162995136,3.1059283784457614,0.2851355148096835,70.25635170936584,56,0.5957223773002625,0.15997327864170074,0.03333333333333333,0.09666666666666666,0.09586536139281104,0.006666666666666667,0.04666666666666667,0.038301021475895425,-0.14368000626564026
V1_left_u005,V1,left,1.3248585116287523,3.818005708130923,4.112915515899658,0.41750708902889694,57.79808280684731,44,0.6672021746635437,0.1439259648323059,0.03,0.20333333333333334,0.13580157319653874,0.01,0.03,0.03274448270542735,-0.07223808020353317
V1_left_u006,V1,left,3.7810356409653374,1.8874489768691685,4.281675297281017,0.20489296381888183,61.171027183532715,46,0.6004195213317871,0.20079299807548523,0.016666666666666666,0.07,0.07071844086027886,0.01,0.023333333333333334,0.031198312821672736,-0.141705721616745
V1_left_u007,V1,left,3.6836131186712358,-2.5017961802936735,4.541570595332554,0.27732503084865,53.24787787028721,42,0.616024374961853,0.14903667569160461,0.02,0.05333333333333334,0.07523446469611576,0.006666666666666667,0.04,0.03212576121446353,-0.13415051996707916
V1_left_u008,V1,left,4.655438852310181,-0.17416556419588491,4.701478024891444,0.4604617081848638,58.90195050920759,35,0.573293924331665,0.18678127229213715,0.01,0.043333333333333335,0.05719581799526194,0.006666666666666667,0.03333333333333333,0.029700399812700506,-0.1670578271150589
V1_left_u009,V1,left,1.7897954285144806,-5.520128831267357,5.8772086054086685,0.7647762239794247,50.25316712260246,32,0.6613590121269226,0.1255829632282257,0.05333333333333334,0.22333333333333333,0.15361537667929384,0.01,0.016666666666666666,0.030506745967497816,-0.08385200798511505
V1_right_u000,V1,right,-0.3168950729039399,0.19269293830004314,0.6490916708460102,0.12060638974033683,33.42965958954452,154,0.5233275294303894,0.15577875077724457,0.006666666666666667,0.05,0.05743054945393249,0.013333333333333334,0.043333333333333335,0.03830333099365819,-0.152670755982399
V1_right_u001,V1,right,-0.3757270960558876,-1.637372104507504,1.7700872565760757,0.43155157949888345,38.4393817728216,66,0.6150141358375549,0.11843864619731903,0.043333333333333335,0.16333333333333333,0.13161359478302373,0.006666666666666667,0.03,0.03277089634080573,-0.10331564396619797
V1_right_u002,V1,right,-1.721772711488265,-0.038388772646279094,1.818220823625975,0.28086326342028906,52.7352299871324,79,0.5731703042984009,0.1343269944190979,0.03,0.07666666666666666,0.08665558718037508,0.006666666666666667,0.02666666666666667,0.03303807459591365,-0.13608267903327942
V1_right_u003,V1,right,-2.264206539643438,-1.2945361133762794,2.675206193798467,0.3091816579628932,58.808548500663356,76,0.6055872440338135,0.13074909150600433,0.02666666666666667,0.14,0.11075377145884574,0.006666666666666667,0.02666666666666667,0.02988954295090976,-0.12291350960731506
V1_right_u004,V1,right,-1.3856632061302663,2.486203193664551,2.898894506692886,0.2340863219113089,53.13295233249664,40,0.648438036441803,0.11761258542537689,0.023333333333333334,0.16666666666666666,0.11886683717156549,0.006666666666666667,0.023333333333333334,0.030034290272964212,-0.10375039279460907
