ROI,local_cos,local_mse,unit_localization_r1,unit_localization_mrr,local_sample_r1,local_sample_mrr,locality_gap
V1,0.6074944138526917,0.14624850451946259,0.025087719298245614,0.09908322289588241,0.009122807017543859,0.03387073654132327,-0.12305378913879395
V2,0.623903751373291,0.14264661073684692,0.031228070175438598,0.11451306918456479,0.008421052631578947,0.03502314987389677,-0.10605700314044952
V3,0.6418260931968689,0.12198788672685623,0.0425,0.14035292569798843,0.010416666666666666,0.041319528251460805,-0.09419484436511993
hV4,0.6355965733528137,0.12552715837955475,0.055,0.14757916577011168,0.013,0.04154331900016987,-0.09898125380277634
