epoch,train_loss,val_loss,CIDEr,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,checkpoint,checkpoint_sha256,elapsed_seconds,peak_gpu_memory_bytes
1,1.8608906454154264,1.9446665271123251,0.4150722314371146,0.5128589263420724,0.34382210002149793,0.2356661844279469,0.164803740239906,0.4027829894651382,checkpoint_epoch001.pt,900b90c231396c934f96fd23e758d037bb0abce0e80344ba875a0ea374f36171,1625.0326416911557,19673799168
2,1.6624860534392227,1.943414112329483,0.3604166202603008,0.5101045296167247,0.3330714496708019,0.22570401023193187,0.15998365337302017,0.40171058037011337,checkpoint_epoch002.pt,d67fccdc2f02c8ce26cccd31210852220bfa05ad4a756aa5477f361beb43f602,3104.1695688003674,19675003904
3,1.5830886782956457,1.9151194580396016,0.40220789555582714,0.5081813931743806,0.337187909415071,0.23521848734792652,0.16984474567334074,0.40672861495090207,checkpoint_epoch003.pt,1c5806c4bcb4a230d7bd8b21aecc3302b8cf7aef074fde88e072325efd7a8f16,4588.61830948526,19675003904
