roi,expected_depth
V1,15.735812576593364
V2,15.614047315821402
V3,15.723853204788965
hV4,15.780867783582714
FFA,15.689552694559097
EBA,15.6825213337696
PPA,15.766112686946148
OPA,15.695114908330998
