roi,L4,L8,L12,L16,L20,L24
V1,0.09318167646838965,0.10310372633409703,0.19096526361282717,0.2551650385918838,0.10449770015107318,0.25308659484172913
V2,0.09412913094557174,0.1041633792531742,0.1958338036822811,0.25809318019519134,0.10550122786686739,0.24227927805691418
V3,0.0942002371817792,0.10470378987932519,0.1923029394104639,0.24861609565293646,0.10507934383929754,0.25509759403619775
hV4,0.09352304111065746,0.10431923049926184,0.19003750525442886,0.24804268962176657,0.10369303154716664,0.2603845019667186
FFA,0.09470836818218231,0.10294290632009506,0.19079722464084625,0.2570066750049591,0.1058933362364769,0.24865148961544037
EBA,0.0947755305402139,0.10414484453632965,0.190612142998342,0.2553036587030786,0.10646888931002883,0.24869493391200703
PPA,0.09393334318747115,0.10288386715290049,0.18952257790027127,0.25260799935007094,0.10348591131354934,0.25756630109573675
OPA,0.09331321785832358,0.10301103519656535,0.19323016847096508,0.2564290781053087,0.10506238121585831,0.24895411915297894
