roi,entropy
V1,1.7038473629913442
V2,1.7076531093861191
V3,1.7071298221704363
hV4,1.704147453944225
FFA,1.7063328955932717
EBA,1.7079419340779498
PPA,1.7030546767886174
OPA,1.7049705231830796
