roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.019456556369993116,0.038369813872059705,0.2150774686349243,0.3285158782995117,0.04642975696496309,0.3521505258585481
V2,0.019495265354589418,0.04276970887719847,0.22616667555320694,0.3379954594647668,0.047507453980752345,0.32606543676948596
V3,0.0194667145937253,0.038702270631916995,0.22020503883882644,0.3259126306044699,0.04892957121690165,0.3467837741141597
hV4,0.018627815555067897,0.03818457127900478,0.20850337855546638,0.3232626839745122,0.04449121985832087,0.36693033077762793
FFA,0.018941671252011728,0.037725407189162084,0.21506064354624518,0.3272475398142645,0.04797396245871314,0.35305077573960336
EBA,0.019569748131848263,0.04072165885257863,0.21529033553232743,0.32977887847904636,0.049659458949444533,0.3449799200547547
PPA,0.01870640997111397,0.03690516708402042,0.21074318837475872,0.33094587037972656,0.04308916141979463,0.3596102027705857
OPA,0.021483169225440416,0.04177318417483843,0.21376090510355775,0.32453793968870964,0.05377788424213745,0.3446669175653164
