roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.019696686441729536,0.03954078666164975,0.21526387521293774,0.34366340973290344,0.042328733135966704,0.3395065088148129
V2,0.02159158822202465,0.0416600882237262,0.22500094058776182,0.34951970122068576,0.04433578165933334,0.31789190008646817
V3,0.021733814076790786,0.042740909712336704,0.2179392258120295,0.3305655217015063,0.04349202705719099,0.34352850164014576
hV4,0.02037941312797188,0.04197178906249791,0.21340834528026492,0.3294187199264634,0.04071938885815871,0.35410234374464317
FFA,0.02275006529683788,0.03921914587880732,0.2149277708160483,0.34734669990854683,0.04512001290548344,0.3306363051942761
EBA,0.022884395139832835,0.0416230162282411,0.2145576217064537,0.3439406643669502,0.04627110798872778,0.33072319456979427
PPA,0.02120001898606253,0.0391010699943864,0.21237847743326402,0.33854931724210613,0.04030515213602886,0.3484659642081521
OPA,0.01995976836695011,0.039355400382424514,0.2197936704908036,0.34619148777856046,0.04345810030567912,0.3312415726755822
