subject,method,best_val_loss,final_val_loss,mse_loss,cosine_loss,l24_usage,early_visual_mean_depth,high_level_mean_depth,soft_vs_uniform_percent,soft_vs_single_l24_percent
subj01,soft,0.10317949754627127,0.10317949754627127,0.007964110614633873,0.09521538685811193,0.3370120363667343,17.427290399463825,17.41665089784819,20.304561841404887,26.9707432662802
subj01,uniform,0.1294672567593424,0.13022222291482122,0.004231328953449663,0.12599089506425357,0.16666666666666666,13.999999999999998,13.999999999999998,,
subj01,single_L24,0.14128515359602475,0.14128515359602475,0.045372496898237025,0.09591265689385564,1.0,24.0,24.0,,
subj02,soft,0.10298286731305875,0.10298286731305875,0.00849536495087178,0.09448750277883128,0.34927973545626023,17.55407379053767,17.59390719643128,19.862002775836576,26.807136604819103
subj02,uniform,0.1285069141733019,0.12954759323283246,0.00421644636969033,0.12533114772093923,0.16666666666666666,13.999999999999998,13.999999999999998,,
subj02,single_L24,0.14070069476177818,0.14070069476177818,0.044910018185251636,0.09579067638045863,1.0,24.0,24.0,,
subj05,soft,0.10140091063160646,0.10164787228170194,0.007124935497382754,0.09452293656374279,0.31795659169139123,17.191251705546698,17.22389398570415,19.44869482210906,27.12551636554051
subj05,uniform,0.12588363454530113,0.1262916138297633,0.004100357268103643,0.12219125620628658,0.16666666666666666,13.999999999999998,13.999999999999998,,
subj05,single_L24,0.13914460257480019,0.13914460257480019,0.0440458902402928,0.0950987127266432,1.0,24.0,24.0,,
subj07,soft,0.10366550676132504,0.1044593441643213,0.009836728488536258,0.09462261592086993,0.3795615917035785,17.84445342984775,17.896796647439018,20.492482902309014,26.68875805109607
subj07,uniform,0.1303845353816685,0.13123561912461332,0.0042003644507770475,0.12703525314205572,0.16666666666666666,13.999999999999998,13.999999999999998,,
subj07,single_L24,0.14140465228181137,0.14140465228181137,0.04544903671270922,0.09595561419662677,1.0,24.0,24.0,,
