k_retino,k_total,min_voxels_per_unit,median_voxels_per_unit,mean_voxels_per_unit,max_voxels_per_unit,p05_voxels_per_unit,spatial_compactness,affinity_redundancy,effective_rank,patch_coverage,status
32,36,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,REJECTED_MISSING_CONTINUOUS_PRF
48,52,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,REJECTED_MISSING_CONTINUOUS_PRF
64,68,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,REJECTED_MISSING_CONTINUOUS_PRF
96,100,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,REJECTED_MISSING_CONTINUOUS_PRF
128,132,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,REJECTED_MISSING_CONTINUOUS_PRF
