name,fusion_mode,bridge_type,structured_routing_alpha,routing_temperature,best_val_loss,val_loss,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,CIDEr,num_generated_captions,uses_image_tokens_at_eval,path
umbrae_only,umbrae_only,shikra_patch,,,1.8841068772474925,1.9166464177767435,0.28600823045267487,0.16610206372546643,0.10601775132050763,0.07121833294548442,0.2948906757907442,0.5941734596216924,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_real_3epochs/umbrae_only
neuroroute_only,neuroroute_only,shikra_patch,,,2.175132883787155,2.175132883787155,0.24542936288088643,0.11584800266940111,0.06549131614562796,0.04199289148637916,0.23065202217513184,0.24602850622717032,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_real_3epochs/neuroroute_only
soft,umbrae_plus_soft,shikra_patch,,,1.9098960928122202,1.9098960928122202,0.3178010471204189,0.18740498147685872,0.12139014010632063,0.08418705350391732,0.3048031409664623,0.7130345458540683,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_real_3epochs/umbrae_plus_soft
uniform,umbrae_plus_uniform,shikra_patch,,,1.9089403466383617,1.9089403466383617,0.32588300220750555,0.1967881280722236,0.13036290663442932,0.09118396689878963,0.30718682653557416,0.7582297488304386,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_real_3epochs/umbrae_plus_uniform
single_l24,umbrae_plus_single_l24,shikra_patch,,,1.9220395720005035,1.9220395720005035,0.2813942751615882,0.16199115038410944,0.104864445332251,0.0722280072487057,0.28402663925731064,0.5371556451833339,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_real_3epochs/umbrae_plus_single_l24
alpha_0p1,umbrae_plus_uniform_residual_soft,shikra_patch,0.1,,1.9107610364754994,1.9107610364754994,0.29068673565381004,0.1702363309116102,0.11049455684492654,0.07757830530146562,0.2927389736101649,0.6041749621812775,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_structured/alpha_0p1
alpha_0p3,umbrae_plus_uniform_residual_soft,shikra_patch,0.3,,1.9088919309775034,1.9088919309775034,0.29693579766536965,0.17136633480063165,0.1110998448203861,0.07761504909455715,0.29564240194635083,0.615364906393255,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_structured/alpha_0p3
alpha_0p5,umbrae_plus_uniform_residual_soft,shikra_patch,0.5,,1.9153045066197714,1.9153045066197714,0.28254847645429365,0.16552919458310833,0.107243822082574,0.07434420543900735,0.28757979184240706,0.5781089759600483,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_structured/alpha_0p5
temp_2p0,umbrae_plus_temperature_soft,shikra_patch,,2.0,1.9183695483207703,1.9183695483207703,0.29290012033694346,0.16969427427154152,0.10834232262327272,0.07405997128493726,0.2909243801918613,0.5943317498584787,300,False,/opt/data/private/BA/UMBRAE/umbrae/umbrae_neuroroute_outputs/subj01_structured/temp_2p0
