mode,space,norm_mean,norm_std,norm_median,norm_p5,norm_p95,relative_l2_drift,cosine_to_base,cka_to_base,rsa_spearman
umbrae,brain,12.916662216186523,12.085615158081055,11.349749565124512,8.564686584472657,17.017802524566648,0,1,1.0,0.45906886883928133
umbrae,projected,73.808349609375,65.93572235107422,63.514190673828125,48.82963600158691,105.60965309143062,0,1,1.0,0.42660620070054284
lora,brain,12.746458053588867,11.33526611328125,11.35699462890625,8.520465898513795,16.588556957244865,0.15220823897482855,0.9933515284551865,0.9922098241083539,0.4681754521773819
lora,projected,72.3998794555664,61.3565788269043,63.252830505371094,48.59646511077881,102.01837425231932,0.15462148925915156,0.9943966875251102,0.9876793106802609,0.4387413108808987
full_real,brain,12.400734901428223,11.374239921569824,10.98721694946289,8.114444875717163,16.383742523193348,0.1574365750619306,0.991940487183767,0.9882584070324021,0.4799934431481292
full_real,projected,70.11180877685547,61.46117401123047,61.057952880859375,46.444419860839844,98.61663665771479,0.1626707173811937,0.9929511061511069,0.9759280309644154,0.4445450431703918
full_random,brain,12.46069049835205,11.395597457885742,11.052703857421875,8.14338116645813,16.428413486480707,0.1555372761389848,0.9920286224233157,0.9887745822247236,0.48594433969128525
full_random,projected,70.4515380859375,61.48544692993164,61.46583557128906,46.79757556915283,98.58641738891585,0.16077890399940561,0.9931065516656382,0.97748970801126,0.45096810591631215
