variant,alpha,RSA,variant_to_base_cosine,feature_norm_ratio,CIDEr,BLEU-4,ROUGE-L,Mean_IoU,Grounding_Accuracy,parse_failures
lora,0,0.45906886883928133,1.0,1.0,0.6064128805899661,0.19028850855317814,0.43617266481957284,0.22082647681236267,0.1976023150062009,7
lora,0.25,0.4618685948361178,0.9998579025268555,0.9982332587242126,0.6013814073930609,0.18915615930465274,0.4343265127382585,0.2206171303987503,0.20049607275733775,6
lora,0.5,0.4643186213820635,0.9994282722473145,0.9967641830444336,0.5993573809679517,0.18714315502655687,0.43431022047198614,0.2201412171125412,0.1976023150062009,7
lora,0.75,0.46641924729488654,0.9987063407897949,0.9955944418907166,0.5910518502927498,0.18481038867524455,0.43261618833429977,0.21818524599075317,0.19553534518396032,7
lora,1,0.4681754521773819,0.9976879358291626,0.994724690914154,0.5816784891303525,0.1833407157444846,0.43412488082070305,0.216319739818573,0.1951219512195122,7
full_real,0,0.45906886883928133,1.0,1.0,0.6064128805899661,0.19028850855317814,0.43617266481957284,0.22082647681236267,0.1976023150062009,7
full_real,0.25,0.46563557448875154,0.9998102188110352,0.9902302622795105,0.6108679465739338,0.19100336225653905,0.4358595350052822,0.2206224799156189,0.19842910293509713,6
full_real,0.5,0.47144605124010736,0.9992213249206543,0.9809049963951111,0.5979570326536433,0.18676278628520307,0.43468453076026914,0.22043657302856445,0.19718892104175278,4
full_real,0.75,0.47629658190080115,0.9982022047042847,0.972037136554718,0.586502329950856,0.18185876561388958,0.4333071446284655,0.219964399933815,0.19470855725506409,5
full_real,1,0.4799934431481292,0.9967201352119446,0.9636391997337341,0.5909716376180367,0.18183095227197188,0.4349953753934815,0.2179408222436905,0.19801570897064902,4
full_random,0,0.45906886883928133,1.0,1.0,0.6064128805899661,0.19028850855317814,0.43617266481957284,0.22082647681236267,0.1976023150062009,7
full_random,0.25,0.46708198792960354,0.9998096823692322,0.9917103052139282,0.6055360493974971,0.19018353913824051,0.43558637734906946,0.22080804407596588,0.1992558908639934,6
full_random,0.5,0.47435875604206545,0.9992216229438782,0.9838587045669556,0.5949718803927024,0.18795002426728927,0.4340505705215612,0.2200390249490738,0.19636213311285655,7
full_random,0.75,0.4807083020277128,0.9982099533081055,0.9764561057090759,0.5818128083593603,0.18115944838236264,0.4318747177975671,0.21931037306785583,0.19718892104175278,7
full_random,1,0.48594433969128525,0.996747612953186,0.969512403011322,0.5826799876559317,0.1811758394772101,0.43193581003824727,0.21735110878944397,0.19429516329061597,7
