model,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank,mean_rank
umbrae,0.17311608961303462,0.4317718940936864,0.5570264765784114,0.29872017086932706,8.0,19.819755600814663
lora,0.17209775967413443,0.439918533604888,0.5539714867617108,0.3004326816564881,8.0,19.462321792260692
full_real,0.17820773930753564,0.445010183299389,0.5682281059063137,0.30750122314359746,7.0,18.689409368635438
full_random,0.17718940936863545,0.45010183299389,0.5641547861507128,0.30721471394192584,7.0,18.718940936863543
