method,direction,recall_at_1,recall_at_5,recall_at_10,median_rank,mean_rank
soft,brain_to_image,0.0033333333333333335,0.05,0.09333333333333334,98.5,108.43333333333334
soft,image_to_brain,0.07,0.24666666666666667,0.4066666666666667,15.0,26.823333333333334
uniform,brain_to_image,0.01,0.04666666666666667,0.08,90.5,102.23333333333333
uniform,image_to_brain,0.09333333333333334,0.27666666666666667,0.45,14.0,24.296666666666667
single_L24,brain_to_image,0.006666666666666667,0.04,0.06,108.0,119.46
single_L24,image_to_brain,0.056666666666666664,0.18666666666666668,0.3233333333333333,22.5,36.723333333333336
