roi,layer_4,layer_8,layer_12,layer_16,layer_20,layer_24
V1,0.0712909122556448,0.09335248569647471,0.1522532534102599,0.19627896716197332,0.10312860655287902,0.3836957735816638
V2,0.07232811295737823,0.08949294981857141,0.15185844868421555,0.19582408527533213,0.09630162008106709,0.3941947835683823
V3,0.06897913160423438,0.09195645362138748,0.1542961588005225,0.1972230552136898,0.10651505440473556,0.3810301472743352
hV4,0.07158540011694034,0.09724788663287957,0.1570372835546732,0.19682196805874508,0.10269037827849388,0.37461708128452303
FFA,0.09176162866254647,0.09170269380013148,0.15544990946849188,0.19949702814221382,0.11482976409296194,0.3467589763303598
EBA,0.0783271105090777,0.0923449743539095,0.15602398154636224,0.21535462409257888,0.10873278406759103,0.3492165225247542
PPA,0.07668266861389081,0.08876390531659126,0.15474186937014262,0.20593724663058915,0.09563419138391813,0.37824012016256653
OPA,0.06224361937493086,0.08271385988841454,0.16002395587662857,0.22683215816815694,0.10657373666763306,0.3616126714646816
